姓名,身份证号,居住地,手机号,申请时间,单位名称,户籍所在地,申请产品类型,学历,社保评分,近12个月申请贷款次数,公积金账户当前状态,首次成为我行用户时年龄,税前年收入（元）,手机在网时长（月）
吴华,510101199201033456,成都市武侯区,15000150000,2023/5/5,成都XX咖啡馆,四川省泸州市,信用贷,本科,84,0,未缴纳,20,39000,3
周敏,110101199502104567,北京市海淀区,17700177001,2023/6/12,北京XX翻译公司,北京市通州区,消费贷,中专,79,2,冻结,24,43000,13
赵强,310101198703155678,上海市黄浦区,13600136000,2023/7/1,上海XXIT公司,上海市崇明区,信用卡,大专,86,4,未缴纳,25,51000,19
刘芳,330101199304206789,杭州市余杭区,18200182000,2023/8/10,杭州XX设计工作室,浙江省嘉兴市,信用贷,高中,89,1,正常,22,37000,5
陈磊,440101199105257890,深圳市福田区,15500155000,2023/9/5,深圳XX物流配送,广东省揭阳市,消费贷,本科,88,1,正常,21,44000,2
林雪,420101198906088901,武汉市洪山区,17600176001,2023/10/15,武汉XX家政服务,湖北省孝感市,信用卡,中专,91,3,冻结,24,47000,16
黄强,510101199407129012,成都市青羊区,13800138001,2023/11/20,成都XX餐饮连锁,四川省资阳市,信用贷,高中,91,5,未缴纳,23,36000,9
张敏,130101199008180123,石家庄市裕华区,15900159001,2024/1/1,石家庄XX文具店,河北省衡水市,消费贷,大专,26,3,冻结,25,53000,17
王芳,320101198809251234,南京市秦淮区,18600186001,2023/2/18,南京XX宠物医院,江苏省淮安市,信用卡,本科,89,2,未缴纳,24,49000,12
李强,430101199210032345,长沙市岳麓区,13500135001,2023/3/25,长沙XX网络科技,湖南省衡阳市,信用贷,高中,92,1,正常,22,40000,8
刘梅,440101199511103456,广州市白云区,17800178000,2023/4/5,广州XX美容院,广东省梅州市,消费贷,大专,85,4,未缴纳,23,34000,6
陈明,370101198712154567,济南市历城区,15700157000,2023/5/10,济南XX五金店,山东省泰安市,信用卡,中专,78,4,正常,26,55000,22
赵敏,510101199301205678,成都市高新区,13900139001,2023/6/20,成都XX教育机构,四川省达州市,信用贷,本科,90,5,未缴纳,20,38000,4
周杰,110101199102256789,北京市朝阳区,18800188001,2023/7/15,北京XX快递公司,北京市大兴区,消费贷,大专,94,3,正常,21,42000,14
吴婷,310101198903107890,上海市静安区,15000150001,2023/8/1,上海XX花店,上海市浦东新区,信用卡,高中,76,1,正常,23,39000,7
郑浩,440101199404158901,广州市荔湾区,17600176002,2023/9/12,广州XX书店,广东省汕尾市,信用贷,本科,95,0,正常,22,45000,10
孙丽,420101198605209012,武汉市江岸区,18200182001,2023/10/5,武汉XX装修公司,湖北省荆州市,消费贷,中专,88,1,正常,24,52000,18
陈雪,430101199011051234,长沙市雨花区,18700187000,2023/3/10,长沙XX文化传媒公司,湖南省株洲市,消费贷,大专,87,0,正常,22,55000,16
黄涛,520101198812182345,贵阳市南明区,13700137000,2023/4/22,贵阳XX汽车销售公司,贵州省遵义市,信用贷,高中,75,0,正常,24,32000,7
周梅,610101199201033456,西安市未央区,15500155000,2023/5/15,西安XX餐饮管理公司,陕西省咸阳市,信用卡,本科,91,0,未缴纳,21,47000,5
林强,140101199502104567,太原市小店区,17800178000,2023/6/8,太原XX建筑公司,山西省大同市,消费贷,中专,84,0,正常,23,39000,11
郭华,350101198703155678,福州市鼓楼区,18300183000,2023/7/20,福州XX电器销售公司,福建省福州市,信用贷,高中,68,0,正常,25,43000,13
何芳,210101199304206789,沈阳市和平区,13600136000,2023/8/12,沈阳XX美容院,辽宁省鞍山市,信用卡,大专,93,0,冻结,22,49000,19
谢军,460101199105257890,海口市龙华区,18200182000,2023/9/5,海口XX旅游公司,海南省三亚市,消费贷,本科,72,1,正常,20,51000,3
曹雪,370101198906088901,济南市历下区,15700157000,2023/10/18,济南XX超市连锁,山东省临沂市,信用贷,中专,96,1,正常,24,46000,14
韩磊,650101199407129012,乌鲁木齐市天山区,18500185000,2023/11/30,乌鲁木齐XX物流中心,新疆维吾尔自治区,信用卡,高中,86,1,正常,23,37000,9
朱琳,530101199008180123,昆明市盘龙区,17500175000,2024/1/1,昆明XX花店,云南省昆明市,消费贷,大专,89,4,正常,22,44000,17
王伟,110101199209251234,北京市丰台区,13800138002,2023/2/20,北京XX便利店,北京市房山区,信用贷,高中,83,3,正常,23,40000,10
李芳,310101198910152345,上海市闵行区,15900159002,2023/3/18,上海XX快递公司,上海市宝山区,消费贷,大专,84,3,正常,24,45000,9
王强,440101199311203456,广州市黄埔区,18600186002,2023/4/5,广州XX快递站,广东省清远市,信用卡,本科,73,3,未缴纳,22,37000,5
刘梅,420101199612054567,武汉市汉阳区,17700177002,2023/5/12,武汉XX便利店,湖北省荆门市,信用贷,中专,91,4,正常,23,41000,12
陈明,320101198801125678,南京市建邺区,13900139002,2023/6/3,南京XX网吧,江苏省连云港市,消费贷,高中,88,4,未缴纳,25,36000,8
赵敏,510101199402186789,成都市青白江区,15800158002,2023/7/10,成都XX宠物店,四川省乐山市,信用卡,大专,86,0,冻结,20,50000,15
周杰,440301199203257890,深圳市宝安区,18800188002,2023/8/1,深圳XX文具店,广东省河源市,信用贷,本科,87,0,未缴纳,22,43000,6
吴婷,130101199004088901,石家庄市藁城区,17600176003,2023/9/15,石家庄XX水果店,河北省邢台市,消费贷,高中,78,2,正常,23,38000,11
郑浩,330101199505159012,杭州市滨江区,13500135002,2023/10/20,杭州XX书店,浙江省衢州市,信用卡,大专,79,0,正常,24,46000,17
孙丽,410101198706220123,郑州市中原区,15600156001,2023/11/5,郑州XX蛋糕店,河南省周口市,信用贷,中专,86,3,正常,26,54000,20
陈雪,430101199107051234,长沙市开福区,18700187001,2023/12/1,长沙XX健身房,湖南省邵阳市,消费贷,大专,84,0,正常,22,56000,14
黄涛,520101198908182345,贵阳市云岩区,13700137001,2024/1/10,贵阳XX茶馆,贵州省铜仁市,信用卡,高中,86,1,正常,24,91000,4
周梅,610101199309153456,西安市碑林区,15500155001,2023/2/15,西安XX花店,陕西省宝鸡市,信用贷,本科,88,0,正常,21,148000,2
林强,140101199610204567,太原市迎泽区,17800178001,2023/3/22,太原XX书店,山西省临汾市,消费贷,中专,91,0,正常,23,138000,10
郭华,350101198811155678,福州市仓山区,18300183001,2023/4/8,福州XX理发店,福建省泉州市,信用卡,高中,92,0,未缴纳,25,92000,7
何芳,210101199412206789,沈阳市沈河区,13600136001,2023/5/18,沈阳XX理发店,辽宁省抚顺市,信用贷,大专,78,2,冻结,22,148000,13
谢军,460101199201257890,海口市美兰区,18200182001,2023/6/5,海口XX海鲜店,海南省儋州市,消费贷,本科,88,1,正常,20,150000,1
曹雪,370101199002088901,济南市槐荫区,15700157001,2023/7/12,济南XX包子铺,山东省德州市,信用卡,中专,86,0,正常,24,145000,15
韩磊,650101199503129012,乌鲁木齐市沙依巴克区,18500185001,2023/8/20,乌鲁木齐XX水果店,新疆维吾尔自治区,信用贷,高中,85,0,正常,23,136000,8
